25,25,M3Hly4cmoCmrUwhGzo3CrdwncZA-,4,53055,{150++14135++29049++42561}
18,18,hzQD4SmkVUP4zTr8qfMCfEdbY5E-,22,360794,{150++13479++32007++46723++64724++80935++94379++109216++126965++146238++162457++177927++193863++208649++225448++241598++257172++272564++288575++309541++322560++340945}
38,38,z0OfsCgfq_42N6ve0HVmqP8sW1Y-,10,297661,{150++36073++64414++98760++131499++157248++183902++214984++250223++289835}
37,37,tg67bVHbsdblhkdD_AsJS9xnOfs-,3,40894,{150++7590++23511}
44,44,vNhxJkp_m6PjMufIEwqABtf4y5I-,12,297144,{150++26722++55317++74368++97946++128034++155132++176617++197411++215636++247278++268702}
45,45,sAWxxpiuNiZ1DNsRVtuv0er1ukY-,18,302770,{150++22262++40814++56536++69195++87862++103433++121966++138448++152928++171386++190498++209847++224434++238594++254907++269229++283921}
51,51,Kj1iXbsSwuBm4ggq8UIH8e_OhI8-,10,255300,{150++24857++49627++78322++100022++127005++168555++192640++212927++236172}
142,142,yjpT7Y7FmA9OwW69ALPTK7AeHkI-,11,204779,{150++18098++33928++50583++65155++81537++96906++123002++139561++158678++184084}
103,103,UOMTYOHDF59ItL6xmdToyuQR_xM-,10,236832,{150++26878++47599++75949++99345++123144++155180++173008++196973++216473}
588,588,ZIOZER67gcltDQY91xmwSSe6f1Y-,8,253349,{150++21416++39847++67451++110781++142165++178707++230632}
226,226,35iElzKddVmPL4mJJZUCg8WBPeQ-,20,250952,{150++13907++24957++32727++52090++61630++73260++87300++96580++104937++123607++134757++149145++156165++162252++169462++178562++197610++207227++217097}
305,305,5MovO.15P2r01mbyr7NKTbIuPyw-,19,325525,{150++17448++34536++56419++71970++85822++100913++117875++138441++153733++167907++188157++201675++216302++236637++257388++274006++294553++308407}
186,186,xOz9HHAAh_9miLvvv3xSOI02OnU-,10,201506,{150++28596++49980++62559++72393++95793++115309++129827++156329++169451}
307,307,Fl.oYtQHgiQl09kVVEXDoCIf9Ng-,13,311833,{150++19037++42244++73986++96325++122485++148997++159269++182088++213390++241385++257364++278979}
310,310,jKOHkmgnIwM.B8oSP2G089GJDT8-,19,330171,{150++20173++34890++50111++66196++90378++107336++123774++138889++158191++174450++192098++214764++235477++248196++266886++282524++299876++312762}
1033,1033,d7FHbMunllWujYyBFW4l6aqS7BA-,13,147206,{150++15401++27551++28548++43034++53864++68624++72004++87325++97078++104417++113353++134391}
264,264,Gg1zuNF9GwKemUvaxcMUg03F9y4-,6,104730,{150++8604++21204++46104++79254++91950}
428,428,ZPR7vFTNnmlqAuTtUUZGVunOn9Y-,18,304864,{150++10352++25331++48300++64347++80893++94646++103735++125569++146093++157652++164939++191675++208826++229171++243685++261362++284972}
279,279,eSV_FA1JkxtIXVjRFU7wQm9Gcb4-,4,66250,{150++20627++38085++52177}
347,347,9Ayu_gmDrCdXNjCVFShLAB_3qyo-,11,334089,{150++14557++56010++92579++125253++156431++188367++225522++257859++280163++305528}
350,350,UmyFi6___.9SHet4E..xKbdLIuk-,7,176676,{150++22838++43477++68938++91351++116847++138459}
325,325,_YJVFGfQxRcwNOWbf4ABbOM6Ed4-,11,194806,{150++13650++27000++44030++57685++60162++81166++91367++117245++135026++161656}
327,327,239hyJ.uMgsIfsvNK5GacyxgjRc-,13,216618,{150++15398++30956++45537++60404++74727++88649++104709++127832++148121++167856++183971++200371}
328,328,fP5LxNNNg3o5ssrJf.UkEeB9OkE-,12,237440,{150++16500++34307++53530++76284++92319++124853++144379++162478++182732++194268++216691}
394,394,Ob0k2ptl7K2HAYv8rrOTydxryuE-,18,339811,{150++17928++31208++47335++65534++77879++92734++108961++128381++142382++159717++169098++190473++217430++252091++264448++287265++320478}
378,378,adbI7Ql85lxnWvAGxDhnUOfuts0-,13,284555,{150++14793++38707++61398++81630++104213++125326++147370++165482++193162++221908++244139++259915}
382,382,wBJF5z0I.8aCvqrKqNCVgh8mwkc-,7,117374,{150++13429++30846++58285++73676++100129++110395}
