159895,a7963d2e-4dd0-4e72-9aaf-8c6df3ed418a,Mário Zan,Mário Zan,\N,\N,\N,\N,\N,\N,\N,\N,\N,,0,\N,f,\N,\N
175320,da637ea5-5814-4df9-a5b2-48bc0f5867ba,Meetra Ravindra,Meetra Ravindra,\N,\N,\N,\N,\N,\N,\N,\N,\N,,0,\N,f,\N,\N
1512115,00544554-02d1-4784-a5b3-899e8aba8d68,Tool,Tool,\N,\N,\N,\N,\N,\N,\N,\N,\N,Psychedelic Rock,0,2017-05-21 13:23:42.473343+00,f,\N,\N
1512115,00544554-02d1-4784-a5b3-899e8aba8d68,Tool,Tool,\N,\N,\N,\N,\N,\N,\N,\N,\N,Psychedelic Rock,0,2017-05-21 13:23:42.473343+00,f,\N,\N
1512115,00544554-02d1-4784-a5b3-899e8aba8d68,Tool,Tool,\N,\N,\N,\N,\N,\N,\N,\N,\N,Psychedelic Rock,0,2017-05-21 13:23:42.473343+00,f,\N,\N
178463,2586f88c-6ffc-4fbd-913f-6c45121265ed,Ñu,Ñu,1975,\N,\N,\N,\N,\N,2,194,\N,Spanish hard rock band,0,2017-06-27 05:09:57.60671+00,f,9413,\N
222262,8f27b7db-da57-42ee-8f81-137ba241b1e8,Gary Rea,Rea+V+ Gary,\N,\N,\N,\N,\N,\N,1,\N,\N,,0,\N,f,\N,\N
464101,37252485-997b-481e-8ae6-558dae0457bf,Jean-Paul Bataille,Bataille+V+ Jean-Paul,\N,\N,\N,\N,\N,\N,1,\N,\N,,0,\N,f,\N,\N
168408,bce10b00-f12f-4038-8be2-df6da9615b06,Requiem,Requiem,1999,\N,\N,\N,\N,\N,2,72,\N,Finnish power metal band,0,2011-05-19 15:58:58.035224+00,f,\N,\N
185000,c7a545e3-f125-48b3-81f7-5e0b85aca16a,Jessica Beach,Beach+V+ Jessica,\N,\N,\N,\N,\N,\N,1,\N,\N,,0,\N,f,\N,\N
6764,f75ba0a6-9bc0-41c4-b7b7-00ecfc3563be,Midnight Configuration,Midnight Configuration,1993,\N,\N,\N,\N,\N,2,221,\N,,0,2012-03-16 11:18:34.337659+00,f,\N,\N
265878,4f4a0d43-75d4-4c31-8d0d-c48e4c0efbf9,José José,José José,1948,2,17,2019,9,28,1,138,1,,0,2019-10-01 05:03:18.412918+00,t,1503,23992
225352,60afd2ae-a1a6-4f36-aa9e-f9c4b1f64bdf,Plane,Plane,\N,\N,\N,\N,\N,\N,2,5099,\N,,0,2020-02-14 06:03:41.697529+00,f,\N,\N
